ID_Word,ID_Aya,idRacine,englishWord
1,01:01,1493,In (the) name
2,01:01,25,(of) Allah
3,01:01,1248,the Most Gracious
4,01:01,1248,the Most Merciful.
5,01:02,581,All praises and thanks
6,01:02,25,(be) to Allah
7,01:02,1219,the Lord
8,01:02,126,of the universe
9,01:03,1248,The Most Gracious
10,01:03,1248,the Most Merciful.
11,01:04,968,(The) Master
12,01:04,1750,(of the) Day
13,01:04,371,(of the) Judgment.
14,01:05,96,You Alone
15,01:05,101,we worship
16,01:05,96,and You Alone
17,01:05,190,we ask for help.
18,01:06,507,Guide us
19,01:06,1355,(to) the path
20,01:06,1206,the straight.
21,01:07,1355,(The) path
22,01:07,29,(of) those
23,01:07,1022,You have bestowed (Your) Favors
24,01:07,130,on them
25,01:07,491,not (of)
26,01:07,448,those who earned (Your) wrath
27,01:07,130,on themselves
28,01:07,866,and not
29,01:07,311,(of) those who go astray.
30,02:01,1493,In (the) name
31,02:01,25,(of) Allah
32,02:01,1248,the Most Gracious
33,02:01,1248,the Most Merciful.
34,02:01,30,Alif Laam Meem
35,02:02,1637,That
36,02:02,777,(is) the book
37,02:02,866,no
38,02:02,1298,doubt
39,02:02,439,in it
40,02:02,507,a Guidance
41,02:02,1697,for the God-conscious.
42,02:03,29,Those who
43,02:03,42,believe
44,02:03,489,in the unseen
45,02:03,1206,and establish
46,02:03,1339,the prayer
47,02:03,973,and out of what
48,02:03,1301,We have provided them
49,02:03,1043,they spend.
50,02:04,29,And those who
51,02:04,42,believe
52,02:04,251,in what
53,02:04,1128,(is) sent down
54,02:04,36,to you
55,02:04,933,and what
56,02:04,1128,was sent down
57,02:04,974,from
58,02:04,1134,before you
59,02:04,21,and in the Hereafter
60,02:04,516,they
61,02:04,1740,firmly believe.
62,02:05,87,Those
63,02:05,130,(are) on
64,02:05,507,Guidance
65,02:05,974,from
66,02:05,1219,their Lord
67,02:05,87,and those -
68,02:05,516,they
69,02:05,389,(are) the successful ones.
70,02:06,51,Indeed
71,02:06,29,those who
72,02:06,742,disbelieve[d]
73,02:06,1534,(it) is same
74,02:06,130,to them
75,02:06,1110,whether you warn them
76,02:06,37,or
77,02:06,900,not
78,02:06,1110,you warn them
79,02:06,866,not
80,02:06,42,they believe.
81,02:07,844,Has set a seal
82,02:07,25,Allah
83,02:07,130,on
84,02:07,1152,their hearts
85,02:07,130,and on
86,02:07,1487,their hearing
87,02:07,130,and on
88,02:07,272,their vision
89,02:07,477,(is) a veil.
90,02:07,865,And for them
91,02:07,184,(is) a punishment
92,02:07,201,great.
93,02:08,974,And of
94,02:08,1120,the people
95,02:08,974,(are some) who
96,02:08,1205,say
97,02:08,42,"""We believed"
98,02:08,25,in Allah
99,02:08,1750,and in the Day
100,02:08,21,"[the] Last"""
101,02:08,933,but not
102,02:08,516,they
103,02:08,42,(are) believers (at all).
104,02:09,805,They seek to deceive
105,02:09,25,Allah
106,02:09,29,and those who
107,02:09,42,believe[d]
108,02:09,933,and not
109,02:09,805,they deceive
110,02:09,27,except
111,02:09,1046,themselves
112,02:09,933,and not
113,02:09,1371,they realize (it).
114,02:10,439,In
115,02:10,1152,their hearts
116,02:10,981,(is) a disease
117,02:10,1795,so has increased them
118,02:10,25,Allah
119,02:10,981,(in) disease;
120,02:10,865,and for them
121,02:10,184,(is) a punishment
122,02:10,30,painful
123,02:10,251,because
124,02:10,785,they used to
125,02:10,781,[they] lie.
126,02:11,79,And when
127,02:11,1205,it is said
128,02:11,865,to them
129,02:11,866,"""(Do) not"
130,02:11,419,spread corruption
