ID_Word,ID_Aya,idRacine,englishWord,
1,1:1,1493,In (the) name,
2,1:1,25,(of) Allah,
3,1:1,1248,the Most Gracious,
4,1:1,1248,the Most Merciful.,
5,1:2,581,All praises and thanks,
6,1:2,25,(be) to Allah,
7,1:2,1219,the Lord,
8,1:2,126,of the universe,
9,1:3,1248,The Most Gracious,
10,1:3,1248,the Most Merciful.,
11,1:4,968,(The) Master,
12,1:4,1750,(of the) Day,
13,1:4,371,(of the) Judgment.,
14,1:5,96,You Alone,
15,1:5,101,we worship,
16,1:5,96,and You Alone,
17,1:5,190,we ask for help.,
18,1:6,507,Guide us,
19,1:6,1355,(to) the path,
20,1:6,1206,the straight.,
21,1:7,1355,(The) path,
22,1:7,29,(of) those,
23,1:7,1022,You have bestowed (Your) Favors,
24,1:7,130,on them,
25,1:7,491,not (of),
26,1:7,448,those who earned (Your) wrath,
27,1:7,130,on themselves,
28,1:7,866,and not,
29,1:7,311,(of) those who go astray.,
30,2:1,1493,In (the) name,
31,2:1,25,(of) Allah,
32,2:1,1248,the Most Gracious,
33,2:1,1248,the Most Merciful.,
34,2:1,30,Alif Laam Meem,
35,2:2,1637,That,
36,2:2,777,(is) the book,
37,2:2,866,no,
38,2:2,1298,doubt,
39,2:2,439,in it,
40,2:2,507,a Guidance,
41,2:2,1697,for the God-conscious.,
42,2:3,29,Those who,
43,2:3,42,believe,
44,2:3,489,in the unseen,
45,2:3,1206,and establish,
46,2:3,1339,the prayer,
47,2:3,973,and out of what,
48,2:3,1301,We have provided them,
49,2:3,1043,they spend.,
50,2:4,29,And those who,
51,2:4,42,believe,
52,2:4,251,in what,
53,2:4,1128,(is) sent down,
54,2:4,36,to you,
55,2:4,933,and what,
56,2:4,1128,was sent down,
57,2:4,974,from,
58,2:4,1134,before you,
59,2:4,21,and in the Hereafter,
60,2:4,516,they,
61,2:4,1740,firmly believe.,
62,2:5,87,Those,
63,2:5,130,(are) on,
64,2:5,507,Guidance,
65,2:5,974,from,
66,2:5,1219,their Lord,
67,2:5,87,and those -,
68,2:5,516,they,
69,2:5,389,(are) the successful ones.,
70,2:6,51,Indeed,
71,2:6,29,those who,
72,2:6,742,disbelieve[d],
73,2:6,1534,(it) is same,
74,2:6,130,to them,
75,2:6,1110,whether you warn them,
76,2:6,37,or,
77,2:6,900,not,
78,2:6,1110,you warn them,
79,2:6,866,not,
80,2:6,42,they believe.,
81,2:7,844,Has set a seal,
82,2:7,25,Allah,
83,2:7,130,on,
84,2:7,1152,their hearts,
85,2:7,130,and on,
86,2:7,1487,their hearing,
87,2:7,130,and on,
88,2:7,272,their vision,
89,2:7,477,(is) a veil.,
90,2:7,865,And for them,
91,2:7,184,(is) a punishment,
92,2:7,201,great.,
93,2:8,974,And of,
94,2:8,1120,the people,
95,2:8,974,(are some) who,
96,2:8,1205,say,
97,2:8,42,We believed,
98,2:8,25,in Allah,
99,2:8,1750,and in the Day,
100,2:8,21,[the] Last,
101,2:8,933,but not,
102,2:8,516,they,
103,2:8,42,(are) believers (at all).,
104,2:9,805,They seek to deceive,
105,2:9,25,Allah,
106,2:9,29,and those who,
107,2:9,42,believe[d],
108,2:9,933,and not,
109,2:9,805,they deceive,
110,2:9,27,except,
111,2:9,1046,themselves,
112,2:9,933,and not,
113,2:9,1371,they realize (it).,
114,2:10,439,In,
115,2:10,1152,their hearts,
116,2:10,981,(is) a disease,
117,2:10,1795,so has increased them,
118,2:10,25,Allah,
119,2:10,981,(in) disease;,
120,2:10,865,and for them,
121,2:10,184,(is) a punishment,
122,2:10,30,painful,
123,2:10,251,because,
124,2:10,785,they used to,
125,2:10,781,[they] lie.,
126,2:11,79,And when,
127,2:11,1205,it is said,
